CustomerId,PurchaseDate,Product,Price
96,2022-09-27,Vacuum cleaner,551$
110,2022-09-27,Vacuum cleaner,154
163,2022-09-27,coffee machine,3099
169,2022-09-27,Phone,534
182,2022-09-27,Vacuum cleaner,765$
207,2022-09-27,TV,598
237,2022-09-27,Microwave oven,427
240,2022-09-27,Vacuum cleaner,790
247,2022-09-27,coffee machine,3536
266,2022-09-27,Vacuum cleaner,648
284,2022-09-27,Vacuum cleaner,700
297,2022-09-27,TV,2154
318,2022-09-27,TV,2442
332,2022-09-27,Phone,1421
344,2022-09-27,coffee machine,789
393,2022-09-27,Vacuum cleaner,716
396,2022-09-27,Laptop,3106
399,2022-09-27,TV,1336
466,2022-09-27,Laptop,1435
471,2022-09-27,Microwave oven,159$
481,2022-09-27,TV,2274
488,2022-09-27,Vacuum cleaner,447
497,2022-09-27,coffee machine,4795
575,2022-09-27,Microwave oven,245$
588,2022-09-27,Microwave oven,314
598,2022-09-27,Microwave oven,202$
610,2022-09-27,Microwave oven,369
613,2022-09-27,Laptop,2867
696,2022-09-27,TV,805
751,2022-09-27,Microwave oven,422
760,2022-09-27,coffee machine,1681$
784,2022-09-27,Microwave oven,140
800,2022-09-27,Laptop,1426
808,2022-09-27,TV,762
829,2022-09-27,Phone,833
833,2022-09-27,Microwave oven,231
874,2022-09-27,Vacuum cleaner,126
878,2022-09-27,coffee machine,1270
885,2022-09-27,TV,2029
891,2022-09-27,Vacuum cleaner,776
903,2022-09-27,Microwave oven,156
926,2022-09-27,Vacuum cleaner,296
948,2022-09-27,Laptop,576
951,2022-09-27,coffee machine,4875
964,2022-09-27,coffee machine,3626
966,2022-09-27,TV,1777
997,2022-09-27,coffee machine,2667
999,2022-09-27,Microwave oven,101
1010,2022-09-27,TV,634$
1021,2022-09-27,Phone,201
1041,2022-09-27,TV,2437
1052,2022-09-27,Phone,1409
1062,2022-09-27,coffee machine,1332$
1101,2022-09-27,Phone,1486
1105,2022-09-27,coffee machine,3647$
1140,2022-09-27,coffee machine,1884
1145,2022-09-27,coffee machine,1879
1193,2022-09-27,Laptop,2668
1195,2022-09-27,Microwave oven,189
1213,2022-09-27,Phone,791
1295,2022-09-27,Microwave oven,150
1297,2022-09-27,Microwave oven,342
1318,2022-09-27,Phone,1405
1336,2022-09-27,Laptop,1169
1353,2022-09-27,TV,1406
1373,2022-09-27,Laptop,2639
1426,2022-09-27,coffee machine,3978
1444,2022-09-27,TV,2026
1446,2022-09-27,Laptop,903$
1474,2022-09-27,coffee machine,3667
1509,2022-09-27,coffee machine,4711
1532,2022-09-27,Vacuum cleaner,343
1535,2022-09-27,TV,2360
1550,2022-09-27,TV,1614
1568,2022-09-27,TV,2323$
1574,2022-09-27,Microwave oven,447
1599,2022-09-27,TV,1200
1627,2022-09-27,Phone,1327$
1652,2022-09-27,coffee machine,1484
1669,2022-09-27,Phone,200
1674,2022-09-27,Phone,882
1708,2022-09-27,Laptop,1743$
1711,2022-09-27,Phone,672
1721,2022-09-27,coffee machine,1164
1779,2022-09-27,Laptop,2230
1786,2022-09-27,Phone,1077
1796,2022-09-27,Microwave oven,543
1801,2022-09-27,Laptop,697
1813,2022-09-27,Phone,1450
1818,2022-09-27,Phone,890$
1838,2022-09-27,coffee machine,2825
1869,2022-09-27,TV,1795
1869,2022-09-27,Phone,1122
1878,2022-09-27,Vacuum cleaner,660
1885,2022-09-27,Laptop,3030$
1905,2022-09-27,Vacuum cleaner,167
1926,2022-09-27,Phone,1115
1963,2022-09-27,TV,1120$
1968,2022-09-27,Vacuum cleaner,403
1970,2022-09-27,Phone,1188$
1990,2022-09-27,Vacuum cleaner,693
1992,2022-09-27,coffee machine,2594
2094,2022-09-27,Microwave oven,243
2095,2022-09-27,TV,1017
2113,2022-09-27,Microwave oven,163$
2120,2022-09-27,TV,750
2142,2022-09-27,TV,1754
2163,2022-09-27,Laptop,1543
2168,2022-09-27,coffee machine,575
2213,2022-09-27,TV,1962
2217,2022-09-27,Microwave oven,552$
2233,2022-09-27,Phone,1146
2244,2022-09-27,coffee machine,2556
2260,2022-09-27,coffee machine,2395
2274,2022-09-27,Microwave oven,391
2281,2022-09-27,Phone,213$
2302,2022-09-27,TV,1573$
2305,2022-09-27,Phone,947$
2310,2022-09-27,TV,1283
2324,2022-09-27,TV,1306
2361,2022-09-27,TV,2291
2372,2022-09-27,Microwave oven,581
2388,2022-09-27,coffee machine,1810
2393,2022-09-27,coffee machine,307
2397,2022-09-27,coffee machine,1845
2432,2022-09-27,Phone,436
2434,2022-09-27,coffee machine,3567
2448,2022-09-27,Phone,1494
2461,2022-09-27,coffee machine,1276
2476,2022-09-27,Laptop,2579$
2488,2022-09-27,Laptop,2821
2495,2022-09-27,Phone,977$
2502,2022-09-27,Phone,1391
2512,2022-09-27,TV,586
2525,2022-09-27,coffee machine,882$
2534,2022-09-27,Phone,1003
2544,2022-09-27,coffee machine,2199
2558,2022-09-27,coffee machine,2341
2581,2022-09-27,TV,2488$
2627,2022-09-27,TV,1401
2628,2022-09-27,Laptop,838
2631,2022-09-27,coffee machine,226
2631,2022-09-27,Microwave oven,590
2664,2022-09-27,TV,1484
2674,2022-09-27,Vacuum cleaner,395
2681,2022-09-27,Microwave oven,104
2685,2022-09-27,Laptop,2346
2692,2022-09-27,coffee machine,2565
2733,2022-09-27,Phone,1367
2772,2022-09-27,Microwave oven,596
2782,2022-09-27,Microwave oven,180$
2810,2022-09-27,Microwave oven,539
2825,2022-09-27,Vacuum cleaner,281
2834,2022-09-27,coffee machine,184
2874,2022-09-27,Vacuum cleaner,754$
2905,2022-09-27,Phone,865
2929,2022-09-27,Vacuum cleaner,323
2947,2022-09-27,Laptop,3286
2949,2022-09-27,Vacuum cleaner,706
2952,2022-09-27,Vacuum cleaner,183
2954,2022-09-27,TV,836$
2956,2022-09-27,Microwave oven,149
2974,2022-09-27,Laptop,3308
3024,2022-09-27,TV,975
3036,2022-09-27,Phone,1319
3063,2022-09-27,Microwave oven,588
3076,2022-09-27,Phone,620
3125,2022-09-27,Vacuum cleaner,632
3156,2022-09-27,TV,1628
3185,2022-09-27,Phone,208
3195,2022-09-27,coffee machine,951
3318,2022-09-27,Laptop,1498$
3321,2022-09-27,Microwave oven,457
3340,2022-09-27,TV,765
3363,2022-09-27,Laptop,2606
3399,2022-09-27,TV,2459
3467,2022-09-27,Laptop,2133
3511,2022-09-27,Vacuum cleaner,103
3518,2022-09-27,Vacuum cleaner,90$
3536,2022-09-27,Laptop,1472
3553,2022-09-27,Phone,348
3565,2022-09-27,coffee machine,4222
3604,2022-09-27,coffee machine,4481
3618,2022-09-27,Laptop,3281$
3629,2022-09-27,Phone,488
3639,2022-09-27,Phone,424
3698,2022-09-27,Phone,754
3720,2022-09-27,Phone,1452
3732,2022-09-27,Microwave oven,132
3733,2022-09-27,Vacuum cleaner,342
3743,2022-09-27,Laptop,2455
3776,2022-09-27,TV,1906
3784,2022-09-27,coffee machine,3484
3788,2022-09-27,TV,2382$
3790,2022-09-27,Vacuum cleaner,456$
3808,2022-09-27,coffee machine,2289
3837,2022-09-27,Phone,598
3837,2022-09-27,Phone,875
3857,2022-09-27,Microwave oven,110$
3866,2022-09-27,TV,1563
3876,2022-09-27,coffee machine,3067
3936,2022-09-27,Microwave oven,447
3939,2022-09-27,TV,1156$
3945,2022-09-27,Vacuum cleaner,164$
3990,2022-09-27,TV,1163
4015,2022-09-27,Phone,1281
4027,2022-09-27,Phone,1008
4069,2022-09-27,Phone,627
4087,2022-09-27,Microwave oven,405
4118,2022-09-27,coffee machine,307
4150,2022-09-27,Phone,979
4156,2022-09-27,Microwave oven,221$
4158,2022-09-27,Microwave oven,230
4170,2022-09-27,TV,1736$
4259,2022-09-27,Microwave oven,174
4345,2022-09-27,Microwave oven,172
4469,2022-09-27,coffee machine,796$
4484,2022-09-27,TV,1472
4509,2022-09-27,Laptop,1889
4553,2022-09-27,Vacuum cleaner,145
4564,2022-09-27,Microwave oven,394
4568,2022-09-27,Laptop,681
4591,2022-09-27,Phone,1493
4617,2022-09-27,TV,2210
4619,2022-09-27,Microwave oven,109
4619,2022-09-27,Vacuum cleaner,329
4648,2022-09-27,coffee machine,3317$
4666,2022-09-27,TV,1559$
4674,2022-09-27,Vacuum cleaner,222
4739,2022-09-27,TV,2072$
4746,2022-09-27,Microwave oven,466
4755,2022-09-27,TV,1951
4789,2022-09-27,Laptop,3481
4813,2022-09-27,Microwave oven,573
4847,2022-09-27,Laptop,1211
4870,2022-09-27,TV,1470
4876,2022-09-27,TV,1033
4879,2022-09-27,coffee machine,4832$
4884,2022-09-27,Phone,548
4891,2022-09-27,Laptop,2937
4908,2022-09-27,Phone,388$
4930,2022-09-27,Microwave oven,531
4959,2022-09-27,Laptop,729
4987,2022-09-27,Phone,311
4989,2022-09-27,Laptop,2434
4994,2022-09-27,TV,2463
4995,2022-09-27,Vacuum cleaner,106
4995,2022-09-27,coffee machine,2210
5001,2022-09-27,Vacuum cleaner,153
5028,2022-09-27,TV,1618
5036,2022-09-27,Vacuum cleaner,482
5040,2022-09-27,TV,1969
5072,2022-09-27,Vacuum cleaner,286
5105,2022-09-27,Phone,811
5123,2022-09-27,Phone,401
5132,2022-09-27,Laptop,2901
5133,2022-09-27,Laptop,832
5142,2022-09-27,Vacuum cleaner,711$
5190,2022-09-27,coffee machine,2459
5201,2022-09-27,Microwave oven,479
5214,2022-09-27,coffee machine,1861$
5252,2022-09-27,coffee machine,4364
5264,2022-09-27,Phone,834
5272,2022-09-27,coffee machine,3609
5284,2022-09-27,Microwave oven,576
5294,2022-09-27,Laptop,3455
5351,2022-09-27,Vacuum cleaner,538
5377,2022-09-27,Vacuum cleaner,766$
5380,2022-09-27,Vacuum cleaner,704
5399,2022-09-27,Vacuum cleaner,530
5421,2022-09-27,TV,1041
5429,2022-09-27,coffee machine,1566
5467,2022-09-27,Microwave oven,243
5472,2022-09-27,Vacuum cleaner,226
5478,2022-09-27,Vacuum cleaner,115
5525,2022-09-27,Laptop,2730
5527,2022-09-27,Microwave oven,325
5554,2022-09-27,Laptop,1227
5561,2022-09-27,Microwave oven,443
5566,2022-09-27,Microwave oven,573$
5572,2022-09-27,Vacuum cleaner,607
5582,2022-09-27,Vacuum cleaner,641
5583,2022-09-27,Laptop,668
5585,2022-09-27,Microwave oven,346
5657,2022-09-27,Vacuum cleaner,755
5661,2022-09-27,Vacuum cleaner,185
5735,2022-09-27,Laptop,2767
5739,2022-09-27,Microwave oven,568
5741,2022-09-27,TV,530$
5777,2022-09-27,coffee machine,3523
5780,2022-09-27,Microwave oven,554
5795,2022-09-27,Laptop,2165$
5816,2022-09-27,coffee machine,3453
5818,2022-09-27,Laptop,876
5823,2022-09-27,Vacuum cleaner,413$
5831,2022-09-27,Microwave oven,374$
5862,2022-09-27,Phone,1058
5930,2022-09-27,coffee machine,4161
5967,2022-09-27,Phone,972$
5979,2022-09-27,Laptop,3034$
5982,2022-09-27,Laptop,1390
6004,2022-09-27,Vacuum cleaner,551
6010,2022-09-27,Phone,837
6023,2022-09-27,Vacuum cleaner,419
6055,2022-09-27,Microwave oven,579
6076,2022-09-27,TV,956
6081,2022-09-27,Laptop,775
6089,2022-09-27,Laptop,2528
6093,2022-09-27,coffee machine,4987
6095,2022-09-27,TV,1196
6102,2022-09-27,Laptop,2905
6120,2022-09-27,Microwave oven,419
6140,2022-09-27,TV,1421$
6164,2022-09-27,coffee machine,179
6174,2022-09-27,Vacuum cleaner,303$
6204,2022-09-27,coffee machine,2050
6263,2022-09-27,Microwave oven,592
6293,2022-09-27,Laptop,592
6304,2022-09-27,coffee machine,3875
6320,2022-09-27,Microwave oven,433
6325,2022-09-27,Phone,727$
6343,2022-09-27,Phone,776
6356,2022-09-27,Laptop,3208
6376,2022-09-27,TV,2101
6408,2022-09-27,Laptop,1937
6417,2022-09-27,Vacuum cleaner,549
6451,2022-09-27,Microwave oven,573$
6455,2022-09-27,Laptop,2135
6544,2022-09-27,Vacuum cleaner,214
6549,2022-09-27,Vacuum cleaner,748
6600,2022-09-27,Laptop,2053
6620,2022-09-27,coffee machine,2541
6640,2022-09-27,Phone,675
6645,2022-09-27,Vacuum cleaner,183
6675,2022-09-27,TV,547
6699,2022-09-27,coffee machine,4392$
6721,2022-09-27,Phone,836
6731,2022-09-27,TV,1521$
6734,2022-09-27,Microwave oven,172
6774,2022-09-27,Phone,356
6776,2022-09-27,Phone,653$
6786,2022-09-27,coffee machine,1015
6813,2022-09-27,Vacuum cleaner,184
6864,2022-09-27,TV,1141
6870,2022-09-27,Laptop,958
6889,2022-09-27,coffee machine,4457
6904,2022-09-27,Laptop,1956
6921,2022-09-27,Phone,595
6929,2022-09-27,coffee machine,1834
6950,2022-09-27,coffee machine,2265
6952,2022-09-27,Laptop,1134$
6970,2022-09-27,Vacuum cleaner,232
6979,2022-09-27,Microwave oven,338
6981,2022-09-27,Laptop,1002$
7046,2022-09-27,Phone,172
7102,2022-09-27,Phone,1042
7111,2022-09-27,Laptop,1824
7156,2022-09-27,coffee machine,105
7158,2022-09-27,Vacuum cleaner,639
7180,2022-09-27,TV,1977
7212,2022-09-27,Laptop,3342
7245,2022-09-27,TV,1911$
7259,2022-09-27,TV,811
7292,2022-09-27,TV,1196
7314,2022-09-27,Microwave oven,247
7334,2022-09-27,Vacuum cleaner,605
7339,2022-09-27,Microwave oven,551
7351,2022-09-27,coffee machine,2728
7355,2022-09-27,Microwave oven,208
7376,2022-09-27,TV,2330
7397,2022-09-27,Vacuum cleaner,675
7469,2022-09-27,coffee machine,1941
7491,2022-09-27,Phone,378
7504,2022-09-27,coffee machine,3254
7509,2022-09-27,TV,2086
7517,2022-09-27,coffee machine,3185
7518,2022-09-27,Vacuum cleaner,655
7521,2022-09-27,Microwave oven,424$
7537,2022-09-27,TV,1945
7554,2022-09-27,coffee machine,1435$
7557,2022-09-27,Microwave oven,235
7564,2022-09-27,TV,1037
7607,2022-09-27,Microwave oven,502
7613,2022-09-27,Vacuum cleaner,446
7627,2022-09-27,Phone,431
7644,2022-09-27,TV,518
7709,2022-09-27,coffee machine,1328
7719,2022-09-27,Microwave oven,280
7727,2022-09-27,Phone,244
7752,2022-09-27,coffee machine,155
7758,2022-09-27,Microwave oven,120
7786,2022-09-27,TV,1409
7813,2022-09-27,TV,783$
7817,2022-09-27,Laptop,687
7847,2022-09-27,Microwave oven,166
7847,2022-09-27,Laptop,2287$
7859,2022-09-27,Microwave oven,147
7872,2022-09-27,Laptop,883
7889,2022-09-27,TV,1702
7974,2022-09-27,Phone,765
7977,2022-09-27,TV,2275
7984,2022-09-27,Microwave oven,153
8040,2022-09-27,Vacuum cleaner,759
8065,2022-09-27,Vacuum cleaner,755
8065,2022-09-27,Phone,1050
8105,2022-09-27,Laptop,916
8138,2022-09-27,Phone,1124
8193,2022-09-27,Laptop,1504
8197,2022-09-27,Microwave oven,120
8198,2022-09-27,coffee machine,4625$
8202,2022-09-27,TV,1660
8210,2022-09-27,Phone,872$
8250,2022-09-27,coffee machine,503
8250,2022-09-27,Microwave oven,510
8265,2022-09-27,Phone,494$
8273,2022-09-27,Phone,579
8308,2022-09-27,Phone,1247
8320,2022-09-27,Phone,547
8351,2022-09-27,Phone,543
8351,2022-09-27,Laptop,3157
8355,2022-09-27,Vacuum cleaner,219
8359,2022-09-27,Microwave oven,560
8363,2022-09-27,Laptop,1818$
8372,2022-09-27,Vacuum cleaner,359
8384,2022-09-27,Phone,515$
8401,2022-09-27,Laptop,3176
8406,2022-09-27,Microwave oven,555
8449,2022-09-27,coffee machine,1247
8467,2022-09-27,Phone,781
8468,2022-09-27,Microwave oven,368
8510,2022-09-27,coffee machine,1180
8518,2022-09-27,TV,1838
8519,2022-09-27,Laptop,725
8531,2022-09-27,TV,2202
8539,2022-09-27,Vacuum cleaner,249
8549,2022-09-27,Microwave oven,513
8557,2022-09-27,coffee machine,4395$
8565,2022-09-27,Microwave oven,303
8605,2022-09-27,TV,1549
8606,2022-09-27,Laptop,1138
8636,2022-09-27,coffee machine,739$
8656,2022-09-27,Microwave oven,538
8661,2022-09-27,Phone,908$
8662,2022-09-27,Phone,313
8691,2022-09-27,TV,1696
8694,2022-09-27,Microwave oven,105
8697,2022-09-27,Laptop,1426$
8703,2022-09-27,Phone,710
8705,2022-09-27,Microwave oven,101
8714,2022-09-27,Vacuum cleaner,268
8715,2022-09-27,coffee machine,363
8764,2022-09-27,Microwave oven,467
8775,2022-09-27,Vacuum cleaner,697
8798,2022-09-27,Vacuum cleaner,429
8829,2022-09-27,coffee machine,458
8835,2022-09-27,coffee machine,1396
8894,2022-09-27,Phone,906
8942,2022-09-27,coffee machine,2181
8970,2022-09-27,Microwave oven,478
9003,2022-09-27,Laptop,1350
9033,2022-09-27,Microwave oven,282
9040,2022-09-27,Laptop,2766
9045,2022-09-27,Phone,1145$
9049,2022-09-27,coffee machine,697
9069,2022-09-27,Microwave oven,478
9146,2022-09-27,TV,1135
9171,2022-09-27,Vacuum cleaner,590$
9204,2022-09-27,Microwave oven,528
9269,2022-09-27,Microwave oven,225
9271,2022-09-27,Phone,1142
9286,2022-09-27,TV,2309
9293,2022-09-27,TV,1271
9298,2022-09-27,Vacuum cleaner,477
9328,2022-09-27,coffee machine,1741$
9338,2022-09-27,coffee machine,2482$
9351,2022-09-27,Vacuum cleaner,129
9354,2022-09-27,TV,2445$
9357,2022-09-27,Phone,638
9369,2022-09-27,Microwave oven,236$
9392,2022-09-27,Laptop,556
9413,2022-09-27,Laptop,2329
9440,2022-09-27,coffee machine,2846
9460,2022-09-27,coffee machine,3258
9461,2022-09-27,Laptop,3408$
9485,2022-09-27,Microwave oven,482
9508,2022-09-27,Microwave oven,527
9508,2022-09-27,TV,1815
9528,2022-09-27,coffee machine,2201
9541,2022-09-27,TV,2483
9566,2022-09-27,Phone,581
9613,2022-09-27,Laptop,2512
9632,2022-09-27,TV,1373
9633,2022-09-27,Vacuum cleaner,686
9719,2022-09-27,Vacuum cleaner,169
9733,2022-09-27,Vacuum cleaner,566
9736,2022-09-27,Microwave oven,173
9740,2022-09-27,Vacuum cleaner,143
9753,2022-09-27,Microwave oven,588
9762,2022-09-27,coffee machine,115
9766,2022-09-27,Laptop,2801
9780,2022-09-27,Phone,969
9795,2022-09-27,Vacuum cleaner,188
9828,2022-09-27,coffee machine,382
9834,2022-09-27,Vacuum cleaner,693
9844,2022-09-27,Phone,277
9874,2022-09-27,Phone,1362$
9912,2022-09-27,Microwave oven,410$
9913,2022-09-27,Laptop,1635
9945,2022-09-27,Phone,1422$
9975,2022-09-27,coffee machine,1830
10015,2022-09-27,Phone,1381
10016,2022-09-27,Microwave oven,360
10022,2022-09-27,coffee machine,3424
10024,2022-09-27,Vacuum cleaner,404
10038,2022-09-27,Microwave oven,559
10055,2022-09-27,TV,1567
10087,2022-09-27,Microwave oven,531
10099,2022-09-27,TV,2041
10101,2022-09-27,Laptop,500
10128,2022-09-27,Vacuum cleaner,395
10172,2022-09-27,Microwave oven,374
10214,2022-09-27,Vacuum cleaner,362
10224,2022-09-27,Microwave oven,338
10283,2022-09-27,Vacuum cleaner,443
10288,2022-09-27,Vacuum cleaner,699$
10298,2022-09-27,Laptop,2166$
10330,2022-09-27,Microwave oven,216
10340,2022-09-27,Vacuum cleaner,300
10347,2022-09-27,Phone,1182
10352,2022-09-27,Laptop,2457$
10377,2022-09-27,coffee machine,4942
10383,2022-09-27,Vacuum cleaner,519$
10437,2022-09-27,Laptop,2733$
10439,2022-09-27,Laptop,2287$
10446,2022-09-27,Phone,1445$
10451,2022-09-27,coffee machine,2272$
10458,2022-09-27,Vacuum cleaner,402
10486,2022-09-27,TV,614
10525,2022-09-27,Laptop,2066
10526,2022-09-27,TV,574
10540,2022-09-27,Vacuum cleaner,383$
10546,2022-09-27,Microwave oven,311
10565,2022-09-27,Microwave oven,218
10589,2022-09-27,TV,1723$
10591,2022-09-27,Laptop,2473
10648,2022-09-27,Microwave oven,415
10652,2022-09-27,Phone,972
10658,2022-09-27,TV,2048
10666,2022-09-27,coffee machine,4948
10690,2022-09-27,Laptop,638
10694,2022-09-27,Phone,1480
10698,2022-09-27,coffee machine,3753
10707,2022-09-27,Phone,962
10748,2022-09-27,Phone,1105
10755,2022-09-27,Vacuum cleaner,412
10774,2022-09-27,Laptop,999
10852,2022-09-27,TV,525
10877,2022-09-27,Vacuum cleaner,288
10878,2022-09-27,Laptop,1852
10887,2022-09-27,Phone,177
10920,2022-09-27,Vacuum cleaner,457
10964,2022-09-27,Laptop,3158
10980,2022-09-27,Vacuum cleaner,798
10981,2022-09-27,Laptop,2881
11017,2022-09-27,Microwave oven,122
11017,2022-09-27,TV,692
11051,2022-09-27,TV,826
11060,2022-09-27,Laptop,2331
11062,2022-09-27,Vacuum cleaner,534$
11074,2022-09-27,Microwave oven,447
11079,2022-09-27,TV,1735
11104,2022-09-27,coffee machine,3615
11112,2022-09-27,Phone,214
11130,2022-09-27,Laptop,2143
11175,2022-09-27,Vacuum cleaner,255$
11175,2022-09-27,Vacuum cleaner,534
11190,2022-09-27,Vacuum cleaner,360
11197,2022-09-27,Phone,405$
11205,2022-09-27,TV,2067
11211,2022-09-27,TV,2418$
11215,2022-09-27,Microwave oven,599
11247,2022-09-27,Laptop,648
11270,2022-09-27,Laptop,1888
11275,2022-09-27,Microwave oven,384
11284,2022-09-27,Microwave oven,469
11318,2022-09-27,TV,2129
11323,2022-09-27,Vacuum cleaner,185
11333,2022-09-27,coffee machine,3798$
11358,2022-09-27,Phone,860
11367,2022-09-27,Laptop,1019
11382,2022-09-27,Laptop,2967
11394,2022-09-27,Vacuum cleaner,756$
11422,2022-09-27,Microwave oven,596
11426,2022-09-27,Phone,682
11429,2022-09-27,Phone,819
11465,2022-09-27,coffee machine,2201
11484,2022-09-27,Phone,287
11543,2022-09-27,Phone,999
11561,2022-09-27,Laptop,1337
11575,2022-09-27,Laptop,2800
11589,2022-09-27,Vacuum cleaner,529
11606,2022-09-27,Phone,576
11609,2022-09-27,TV,512
11613,2022-09-27,Phone,1215
11614,2022-09-27,Laptop,1126$
11623,2022-09-27,TV,633
11641,2022-09-27,Microwave oven,483$
11675,2022-09-27,Laptop,1362
11678,2022-09-27,coffee machine,4032
11681,2022-09-27,TV,814
11718,2022-09-27,Laptop,1736
11718,2022-09-27,Microwave oven,197
11722,2022-09-27,Microwave oven,299
11726,2022-09-27,TV,958
11788,2022-09-27,TV,1555
11789,2022-09-27,TV,561
11804,2022-09-27,Laptop,690
11815,2022-09-27,Phone,669
11820,2022-09-27,TV,1775
11835,2022-09-27,coffee machine,104
11862,2022-09-27,Vacuum cleaner,90
